trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
172,False,"{'a': 0.5, 'e': 0.03096599355827203}",20,6,27.427418389628347,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.030346673687106588}",30,3,33.98220635337262,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.029739740213364455}",20,13,11.490631752360608,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.029144945409097164}",30,12,34.02909603756162,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.02856204650091522}",30,16,25.449657666372758,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.027990805570896914}",30,24,9.105139873534892,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.027430989459478975}",30,21,14.912320951830356,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.026882369670289397}",25,15,12.361924787603998,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.026344722276883607}",30,10,21.974453527508015,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.025817827831345935}",20,3,26.820764809131482,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.025301471274719014}",25,14,22.68885113672363,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.024795441849224633}",25,19,8.876555663296593,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
